,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
1040,"

亀戸ホルモン 恵比寿店（カメイドホルモン）
            
","



焼肉 百名店 2022 選出店




食べログ 焼肉 TOKYO 百名店 2022 選出店






焼肉 百名店 2021 選出店




食べログ 焼肉 TOKYO 百名店 2021 選出店






焼肉 百名店 2020 選出店




食べログ 焼肉 TOKYO 百名店 2020 選出店



","
予約可
お時間厳守15以上連絡無く遅れた場合はキャンセル扱いとさせて頂きます。
","
ホルモン、焼肉、韓国料理
",,,,"
ＪＲ山手線ほか【恵比寿駅】西口　徒歩４分東京メトロ日比谷線【恵比寿駅】徒歩５分
恵比寿駅から194m
",https://tabelog.com/tokyo/A1303/A130302/13041990/,恵比寿駅
1041,"

博多もつ鍋 九州家

","
もつ鍋、焼き鳥、海鮮
","
東京都町田市中町1-16-14 太陽ビル3F






","

050-5596-0588

","￥4,000","￥4,999","
無休
","

営業   17:00〜24:00 （L.O）ﾌｰﾄﾞ23:00　ﾄﾞﾘﾝｸ23:30
日曜営業
",https://tabelog.com/tokyo/A1327/A132701/13090023/,町田駅
1042,"

BeefGarden 恵比寿（ビーフガーデン）
            
","
焼肉、ホルモン、ステーキ
","
東京都渋谷区恵比寿4-10-8 orange恵比寿 1F






","

050-5590-9397

","￥5,000","￥5,999","
なし | ※本日、時間帯により若干空席ございます。お気軽にお電話下さい！
","

【ランチ：全日】11：30～14：30（LO 14：00）【ディナー：平日/土曜】17：00～23：30（LO 23：00）【ディナー：日曜/祝日】17：00～23：00（フードLO 22：00/ドリンクLO 22：30）※土日祝日のランチタイムは、ディナーの焼肉メニューもご用意できます。
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13195568/,恵比寿駅
1043,"

VegeLamb（ベジらむ）
            
","
ジンギスカン、居酒屋、焼肉
","
東京都大田区蒲田5-2-1 マメゾンブランシュ






","

050-5597-7816

","￥3,000","￥3,999","　毎週月曜日祝日の際、変更がある場合がございますのでお問い合わせください！【電話予約24時間受付中】
日曜営業
","

全日17時ー23:00時(L.O22.30)",https://tabelog.com/tokyo/A1315/A131503/13238084/,蒲田駅
1044,"

カラバッシュ（African Restaurant Calabash）
            
","
アフリカ料理、バー、居酒屋
","
東京都港区浜松町2-10-1 浜松町ビル　Ｂ１Ｆ






","

050-5589-3614

","￥3,000","￥3,999","
日曜・祝日、お盆、年末・年始
","

【ランチタイム】　月～金　11:30～14:00 （lo13:30）※土曜日は事前の予約制になります。（合計４名様）【ディナータイム】　月～土　17:30～22:00 （L.O. @21:00）　＊事前のご予約で確実にご案内できます。
",https://tabelog.com/tokyo/A1314/A131401/13021839/,浜松町駅
1045,"

綾瀬 ワインバル八十郎商店

","
バル、居酒屋、ワインバー
","
東京都足立区綾瀬4-6-7 






","

050-5589-7978

","￥3,000","￥3,999","
年末年始
","

【月～金】17:00～翌1:00(L.O24:00)【土日祝】14:00~翌1:00(L.O24:00)
日曜営業
",https://tabelog.com/tokyo/A1324/A132404/13163317/,綾瀬駅
1046,"

酒席 まつした 

","
居酒屋、海鮮、日本酒バー
","
東京都港区芝浦3-1-32 なぎさテラス 4F






","

050-5596-2376

","￥4,000","￥4,999","
日・祝
","

月～金ランチ　11:00～14:00月～土ディナー　17:00～24:00（L.O.23:00）
",https://tabelog.com/tokyo/A1314/A131402/13223806/,田町駅
1047,"

梅山飯店 自由が丘店

","
中華料理、飲茶・点心、四川料理
","
東京都目黒区自由が丘2-11-16 DM自由が丘 A棟






","

050-5890-0706

","￥2,000","￥2,999","
無休
","

11:00～15:00 (L.O 14:45)17:00～23:00 (L.O 22:30)外（１５時～１７時）も予約があれば承ります。日曜営業
日曜営業
",https://tabelog.com/tokyo/A1317/A131703/13269473/,自由が丘駅
1048,"

香楓苑

","
焼肉、居酒屋、ホルモン
","
東京都中央区日本橋人形町2-11-2 






","

050-5590-1252

","￥5,000","￥5,999","
不定休 
","

【平日】17:00～24:00【土･日･祝日】17:00～22:00
日曜営業
",https://tabelog.com/tokyo/A1302/A130204/13096766/,人形町駅
1049,"

肉盛ホルモン

","
焼肉、ホルモン、居酒屋
","
東京都千代田区神田三崎町2-21-11 ゑびすビル B1F






","

050-5589-4308

","￥3,000","￥3,999","
なし
","

[月～金]11:30～15:00(L.O.14:30)17:00～24:00(L.O.23:15)［土・日・祝］12:00～24:00(L.O.23:15)
日曜営業
",https://tabelog.com/tokyo/A1310/A131003/13273257/,水道橋駅
1050,"

ご馳走や 叶え 神楽坂店

","
居酒屋、海鮮、郷土料理
","
東京都新宿区神楽坂3-6-19 青柳LKビル B1Ｆ






","

050-5570-2083

","￥5,000","￥5,999","
年末年始
","

平日ランチタイム11:30～15:00(LO14:00)ディナータイム17:00～23:00(LO22:00)土日祝ランチタイム11:30～15:00(LO14:00)ディナータイム16:00～23:00(LO22:00)
日曜営業
",https://tabelog.com/tokyo/A1309/A130905/13156992/,飯田橋駅
1051,"

The Kitchen Salvatore Cuomo GINZA（ザ キッチン サルヴァトーレ クオモ 銀座）
            
","
イタリアン、ピザ、ビュッフェ
","
東京都中央区銀座1-13-15 ダイワロイネットホテル銀座 2F






","

050-5590-0660

","￥4,000","￥4,999","
無休 ※但しダイワロイネットホテルの休館日等に準ずる
","

■MORNING7:00～10:30 (LI 10:00)■LUNCH11:30～15:00 (LO 14:00)■DINNER17:30～23:00 (LO 22:00)
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13189254/,銀座一丁目駅
1052,"

串よし 神田東口店（くしよし）
            
","
焼き鳥、居酒屋、鳥料理
","
東京都千代田区鍛冶町2-5-4 






","

050-5597-0626

","￥2,000","￥2,999","
土・日・祝
","

17:00～24:00
",https://tabelog.com/tokyo/A1310/A131002/13072860/,神田駅
1053,"

みはな

","
居酒屋、鍋、創作料理
","
東京都江東区富岡1-5-10 千歳富岡ビル 2F






","

050-5570-3425

","￥3,000","￥3,999","
日曜日 祭日
","

17:00～23:00
",https://tabelog.com/tokyo/A1313/A131303/13148096/,門前仲町駅
1054,"

梅酒 居酒屋 彩（さい）
            
","
居酒屋、焼き鳥、もつ鍋
","
東京都渋谷区宇田川町30-5 ＪＯＷビル　３Ｆ






","

050-5589-4463

","￥3,000","￥3,999","
１２月３１日・元旦はお休みになります。
","

[月～金]18:00〜5:00[土]17:00～5:00[日]17:00〜23:30お料理のラストオーダーは1時間前、ドリンクは30分前までとなっております。
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13029298/,渋谷駅
1055,"

個室居酒屋 さつま武蔵 田町店（【旧店名】薩摩居酒屋 武ノ蔵）
            
","
居酒屋、もつ鍋、日本料理
","
東京都港区芝5-22-3 浅岡ビル4F






","

050-5869-6069

","￥4,000","￥4,999","
日曜日
","

[月～土・祝日・祝前日]15:00～24:00(L.O.23:00、ドリンクL.O.23:30)
日曜営業
",https://tabelog.com/tokyo/A1314/A131402/13134276/,三田駅
1056,"

東京 今井屋本店

","
焼き鳥、郷土料理、水炊き
","
東京都千代田区丸の内2-4-1 丸の内ビルディング 6F






","

050-5890-1513

","￥5,000","￥5,999","
無（施設に準ずる）　※2023年2月20日→店休
","

ランチ　11:00～14:00ディナー16:30～23:00 ※新型コロナウィルスの感染拡大防止等の観点から、状況により営業日及びを変更する場合がございます。※2023年2月20日→店休
日曜営業
",https://tabelog.com/tokyo/A1302/A130201/13004027/,二重橋前駅
1057,"

焼肉 天龍

","
焼肉、ホルモン、居酒屋
","
東京都新宿区歌舞伎町1-22-7 オスロービル 1F






","

050-5872-1492

","￥2,000","￥2,999","
不定休
","

[月～木]11:00～15:001７:00～23：00(L.O22:30)[金・土・日]通常11:00～23:00(L.O22:30)
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13207572/,西武新宿駅
1058,"

升屋 神保町店（ますや）
            
","
居酒屋、ステーキ、日本料理
","
東京都千代田区神田小川町3-10 新駿河台ビル B1F






","

050-5872-4554

","￥4,000","￥4,999","
無休 （年末年始12月31日〜1月3日のみ休み)
","

月～土曜日11:00～24:00（料理L.O 23:00、ドリンクL.O 23:30）日・祝日11:00～23:00（料理L.O 22:00、ドリンクL.O 22:30）※ランチL.Oは15:30(ランチ後クローズなし)※ランチタイムから単品料理・お酒・ご宴会の提供あり
日曜営業
",https://tabelog.com/tokyo/A1310/A131003/13028656/,神保町駅
1059,"

赤坂 おんがね （【旧店名】おんがねどんどんじゅ）
            
","
韓国料理、居酒屋、焼肉
","
東京都港区赤坂3-6-13 アニマート赤坂 1F






","

050-3172-2141

","￥5,000","￥5,999","
日
","

[月〜土]17:00〜23:30(L.O23:00)
",https://tabelog.com/tokyo/A1308/A130801/13059524/,赤坂駅
1060,"

酒バル guigui（グイグイ）
            
","
居酒屋、海鮮、日本酒バー
","
東京都豊島区南池袋2-14-3 池袋東宝ビル 2F






","

050-5592-7124

","￥5,000","￥5,999","
日曜、祝日　　※月曜が祝日の場合は日曜日も営業いたします。
","

【月〜土】　17:00～24:00(L.O)23:00(ドリンクＬ.O)23:30※状況によりお店の閉店時間が早まる場合がございます。
",https://tabelog.com/tokyo/A1305/A130501/13200590/,池袋駅
1061,"

THE GRILL SEASONING & HERBS

","
ステーキ、シーフード、ダイニングバー
","
東京都千代田区永田町2-13-10 プルデンシャルプラザ 1F






","

050-5570-8619

","￥6,000","￥7,999","
12/31、1/1、施設の休館日に準ずる
","

【ランチ】　　　11:30～15:00（LO 14:30）【ディナー】　　17:00～23:00（LO 22:00）【日祝ディナー】17:00～22:00（LO 21:00）
日曜営業
",https://tabelog.com/tokyo/A1308/A130801/13263293/,赤坂見附駅
1062,"

完全個室居酒屋 九州さつき 六本木店

","
居酒屋、焼き鳥、しゃぶしゃぶ
","
東京都港区六本木3-11-10 ココ六本木ビル 4F






","

050-5592-5352

","￥3,000","￥3,999","
年中無休（年末年始も休まず営業いたします）
","

15:00～24:00
日曜営業
",https://tabelog.com/tokyo/A1307/A130701/13199319/,六本木駅
1063,"

炭火焼き串工房 居酒屋 鳥兵衛 新宿東口店（とりべえ）
            
","
居酒屋、焼き鳥、日本料理
","
東京都新宿区歌舞伎町1-14-3 第103東京ビル 5F






","

050-5571-4349

","￥2,000","￥2,999","
なし
","

【ディナー】全日：16:00～24:00（料理L.O. 23:00 ドリンクL.O. 23:30）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13265625/,西武新宿駅
1064,"

個室 まぐろの中落ち100円の居酒屋 まぐろんち 神楽坂店

","
居酒屋、海鮮、ダイニングバー
","
東京都新宿区神楽坂2-11 第83東京ビル 5F






","

050-5597-5166

","￥3,000","￥3,999","
不定休
","

月～金・祝前日　ディナー　16:00～23:15（L.O.22:45、ドリンクL.O.22:45）土・日・祝日　ディナー　15:00～23:15（L.O.22:45、ドリンクL.O.22:45）
日曜営業
",https://tabelog.com/tokyo/A1309/A130905/13235589/,飯田橋駅
1065,"

聖橋 鳥福（トリフク）
            
","
焼き鳥、水炊き、居酒屋
","
東京都千代田区神田駿河台2-4-14 ウィーンビル 6F






","

050-5890-1558

","￥3,000","￥3,999","
月曜日　※年末年始の営業時間については、店舗までお問い合わせください。
","

[火～金曜日]17:00-23:00(L.O.22:00)[土曜日]16:00-23:00 (L.O.22:00)[日曜日・祝日]16:00-22:00 (L.O.21:00)
日曜営業
",https://tabelog.com/tokyo/A1310/A131002/13057540/,御茶ノ水駅
1066,"

たまさか 西麻布

","
日本料理、鍋、海鮮
","
東京都港区西麻布2-21-11 






","

050-5872-9422

","￥10,000","￥14,999","
日、祝
","

■3月22日～営業日月曜日～金曜日昼 １２：００～１５：００（入店１３：３０）要予約夜 １８：００～２３：００（入店２１：００）土曜日は予約内容により応相談可
",https://tabelog.com/tokyo/A1306/A130602/13004801/,乃木坂駅
1067,"

広島風お好み 鉄板焼き 友

","
お好み焼き、鉄板焼き、ステーキ
","
東京都新宿区歌舞伎町1-2-15 ソシアルビル１Ｆ






","

050-5872-8087

","￥2,000","￥2,999","
無し
","

月～金：09:00～16:00ランチ内容はランチコースをご覧ください。月～日：17:00～23:00  (22:00ラストオーダー)
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13061504/,新宿三丁目駅
1068,"

三代目 鳥メロ 神田西口駅前店

","
焼き鳥、居酒屋、もつ鍋
","
東京都千代田区内神田3-12-10 神田西口NSビル 2F






","

050-5872-3264

","￥2,000","￥2,999","
日曜・祝休日定休
","

17:00～翌日3:00土日曜日は15:00～23:00祝休日・祝休日の前日は17:00～23:00※3月中は16:00～翌日3:00　　土日曜日は15:00～23:00の営業とさせていただきます。（祝休日・祝休日の前日は16:00～23:00）
",https://tabelog.com/tokyo/A1310/A131002/13199354/,神田駅
1069,"

ネパール民族料理 アーガン（AANGAN）
            
","



アジア・エスニック 百名店 2022 選出店




食べログ アジア・エスニック TOKYO 百名店 2022 選出店






カレー 百名店 2019 選出店




食べログ カレー TOKYO 百名店 2019 選出店






カレー 百名店 2018 選出店




食べログ カレー 百名店 2018 選出店






カレー 百名店 2017 選出店




食べログ カレー 百名店 2017 選出店



","
予約可
","
ネパール料理、カレー、居酒屋
",,,,"
JR「新大久保駅」から徒歩3分JR「大久保駅」から徒歩7分西武新宿線「西武新宿駅」北口から徒歩7分東京メトロ副都心線・都営大江戸線「東新宿駅」B3出口から徒歩7分
新大久保駅から214m
",https://tabelog.com/tokyo/A1304/A130404/13196997/,新大久保駅
1070,"

新宿ますお 新宿本店

","
焼肉、創作料理、寿司
","
東京都新宿区歌舞伎町2-19-12 レジデンシャルステージ東新宿 B1F






","

050-5592-8532

","￥10,000","￥14,999","
無休
","

全日11:30～24:00(L.O.23:00)
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13200771/,東新宿駅
1071,"

サカノバ グラン（SACANOVA GRAN）
            
","
居酒屋、ダイニングバー、海鮮
","
東京都渋谷区宇田川町12-17 プロトビル Ｂ１Ｆ






","

050-5869-3905

","￥5,000","￥5,999","
無休
","

2022年3月22日より以下の時間で営業致します。＝＝＝＝【月〜金】＜ランチ＞　12:00〜14:00（ラストオーダー13:30）17:30〜24:00（フードラストオーダー23:00）（ドリンクラストオーダー23:30）【土/日】　　1 7:30〜24:00（フードラストオーダー23:00）（ドリンクラストオーダー23:30）
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13102694/,渋谷駅
1072,"

S'ACCAPAU（サッカパウ）
            
","



イタリアン 百名店 2021 選出店




食べログ イタリアン TOKYO 百名店 2021 選出店



","
予約可
・アレルギーのみございましたら事前にお申し付けください。（またご本人様、同伴者様等のご明記頂けましたら幸いです。）・ご予約日の前日または前々日に確認のご連絡を致します。・混雑時、2時間制となる場合がございます。・営業時間中はお電話に出ることができない場合がございます。
","
イタリアン、イノベーティブ、ワインバー
",,,,"
六本木駅(東京メトロ日比谷線 2出口)より徒歩8分六本木駅(都営大江戸線 4b出口)より徒歩9分乃木坂駅(東京メトロ千代田線 5出口)より徒歩9分
六本木駅から714m
",https://tabelog.com/tokyo/A1307/A130701/13195700/,六本木駅
